,,LIvro de Preço,,,,,
C.INTERNO,PRODUTO,,C.BARRAS,UN,REFERENCIA,MARCA,PREÇO
0000766,CABO DE ENXADA,1000000766929,UN, ,DIVERSOS,15.00
0000767,CABO DE CAVADEIRA JENIPAPO,7891117078319,UN, ,DIVERSOS,20.00
0000768,CABO DE MACHADO,1000000768862,UN,40075,DIVERSOS,18.00
0000769,LAVANDERIA 110X 55,0000000000769,UN,,DIVERSOS,142.14
0000770,LAVANDERIA FIBRATEC 122X61,1000000770544,UN, ,DIVERSOS,161.15
0000771,PIA DE COZINHA DURAFORT 120X49,1000000771503,UN,7897075171246,DIVERSOS,160.00
0000772,PE DA PIA DE BANHEIRO MARY,0000000000772,UN,,DIVERSOS,154.00
0000773,FERROLHO LEVE/ OURO PRETO,2917400000968,UN,0096,DIVERSOS,7.00
0000774,"FERROLHO LEVE 25"" FLO",2917400001958,UN,0195,DIVERSOS,8.00
0000775,TINTA EXTRALUX 900ML PRETO,7908147602473,UN, ,DIVERSOS,24.08
0000776,BARROTE 3.5MT,1000000776683,UN,,DIVERSOS,26.00
0000777,BARROTE 4MT,1000000777161,UN,,DIVERSOS,30.00
0000778,BOCAL COM RABICHO RADIAL,7898195642012,UN,074293,DIVERSOS,5.00
0000779,BARROTE 3MT,1000000779974,UN, ,DIVERSOS,23.00
0000781,AREIA PRETA,1000000781854,M, ,DIVERSOS,100.00
24/10/2025 - 001,,,,,,
C.INTERNO,PRODUTO,C.BARRAS,UN,REFERENCIA,MARCA,PREÇO
0000783,CONECTOR DE ANTENA RG6 STORM,7898566201404,PT10,PLUG,DIVERSOS,3.00
0000784,LINHA PEDREIRO TOP FIO 050M LISA ,7897323800522,PT12,112263,DIVERSOS,5.00
0000785,PINO FEMEA 3 ENTRADAS  20A ILUMI,7898322647057,PT10,73478,DIVERSOS,5.00
0000787,COLA BRANCA UNIVERSAL CASCOREZ ,7891200007493,PC,2540,DIVERSOS,20.16
0000788,COLA BRANCA UNIVERSAL CASCOREZ ,7891200007486,PC,2538,DIVERSOS,11.06
0000790,MATA BICHEIRA 500ML FORTE SV ,7898049717569,PC,326,DIVERSOS,15.00
0000792,VASSOURA  BELLANO,7898933438037,UN,2003,DIVERSOS,7.91
0000793,RODO P/BANHEIRO 30CM C/CABO,1000000793956,UN,,DIVERSOS,7.00
0000794,ESCOVA SANITARIA,1000000794632,UN, ,DIVERSOS,6.02
0000796,CURVA DE ESGOTO 75,1000000796605,UN,023077,DIVERSOS,18.00
0000797,CURVA CURTA  DE 100/ 45,1000000797350,UN,,DIVERSOS,9.53
0000798,CURVA SOLD. FORTLEV 40,1000000798852,UN,10100401,DIVERSOS,12.00
0000799,CURVA SOLD. FORTLEV 32,1000000799309,UN,34692,DIVERSOS,6.00
0000800,CURVA SOLD. FORTLEV 25,1000000800807,UN,020349,DIVERSOS,3.50
0000801,CURVA SOLD. FORTLEV 20,1000000801101,UN,78796,DIVERSOS,3.00
0000803,TE DE ENERGIA 3 ENTRADAS,1000000803273,UN,,DIVERSOS,5.00
0000805,ARGAMASSA 5KG,1000000805178,UN,108,DIVERSOS,7.00
0000807,GESSO BRAS 1KG,7898246220954,UN,9041,DIVERSOS,3.00
0000808,TINTA PO AMARELO 2KG UNIVERSAL,1000000808087,UN, ,DIVERSOS,6.01
0000809,CAMARA DE AR P/ CARRINHO 325X8 ,7898505234098,UN,118647,DIVERSOS,18.00
0000810,FITA ALUM 45MM X 45M MAXXIFOIL,742832635356,UN,,DIVERSOS,14.00
0000811,PEDRA AMOLAR DUPLA FACE 20CM ,7894768010608,UN,032778,DIVERSOS,28.50
0000812,SERRA TICO TICO BIMETAL STARRETT,7891265687319,UN, ,DIVERSOS,32.00
0000813,TORNEIRA MAQ LAVAR ABS TANQUE,7898640314464,UN, ,DIVERSOS,30.00
0000814,TORQUES ARMADOR  TRAMONTINA,7891114077162,UN,005404,DIVERSOS,50.00
0000815,TINTA MULTICOR 3L,41314113000215,UN,2,DIVERSOS,38.00
0000817,HASTE TERRA 2.4MT,1000000817447,UN, ,DIVERSOS,35.00
0000819,LAMPADA LED 9W AVANT 6500K,7899452011244,UN, ,DIVERSOS,9.00
0000820,FIXA CAL PINTAFIX 150ML,7898966798054,UN,7366,DIVERSOS,1.50
0000821,MANGUEIRA DE IRRIGACAO 3/4,1100000822882,UN,277,DIVERSOS,2.21
0000822,TORNEIRA HERC C/ FILTRO B.MOVEL,7898059548450,UN,2880,DIVERSOS,58.00
0000823,JOELHO LR SOLD FORTLEV 20 X1/2,1000000823387,UN,020128,DIVERSOS,2.00
0000824,TE SOLD FORTLEV  25,1000000824339,UN,1260,DIVERSOS,3.00
0000825,INTERRUPTOR 10A 250V PLUZIE,7898929349026,UN,",",DIVERSOS,6.50
0000826,TE SOLD C/ REDUCAO 25X20,1000000826135,UN,020183,DIVERSOS,3.50
24/10/2025 - 001,,,,,,
C.INTERNO,PRODUTO,C.BARRAS,UN,REFERENCIA,MARCA,PREÇO
0000827,ARAME MORLAN FARPADO 500MT,1000000827910,UN, ,DIVERSOS,379.40
0000828,BOTA COURO IMBISEG S/BIQ. TAM 41,7899717102526,UN,,DIVERSOS,60.00
0000829,BOTA COURO IMBISEG S/BIQ. TAM 40,7899717102519,UN,,DIVERSOS,60.00
0000830,BOTA COURO IMBISEG S/BIQ. TAM 39,7899717102502,UN,,DIVERSOS,60.00
0000831,RABICHO FLEXIVEL ACO INOX 40CM,1000000831467,UN,,DIVERSOS,16.02
0000832,ESMALTE SINTETICO LUZeCOR AZUL ,7891542150079,UN,003044,DIVERSOS,29.00
0000833,ESMALTE SINT. PRETO EUCALAR ,7896587002369,LT,003045,DIVERSOS,31.00
0000834,ESMALTE UNIVERSO VERDE FOLHA,7891696008684,CX,8615,DIVERSOS,27.00
0000835,ESMALTE 1/4X6 EUCALAR BRILH.,7896587002802,CX,003049,DIVERSOS,30.00
0000836,ESMALTE 1/4X6 EUCALAR BRILH.,7896587002765,CX,003093,DIVERSOS,28.00
0000837,ESMALTE 1/4X6 EUCALAR BRILH.,7896587014461,CX,003103,DIVERSOS,45.00
0000838,ESQUADRO ACO CARB. 12X30CM ,7899095400900,PT,055753,DIVERSOS,12.00
0000839,BROCA ACO RAP. 5.9MM  15/64 IRWIN,7897095000144,UN,,DIVERSOS,8.05
0000840,BROCA ACO RAP. 4.7MM  3/16 IRWIN,7897095000113,UN,,DIVERSOS,9.00
0000841,BROCA ACO RAP. 9.5MM  3/8 IRWIN   ,7897095000236,UN,IW38,DIVERSOS,26.00
0000842,BROCA ACO RAP. 2.3MM (3/32) IRWIN,7897095000052,UN,005092,DIVERSOS,6.75
0000843,BROCA ACO RAP. 7.9MM  5/16 IRWIN   ,7897095000199,UN,005096,DIVERSOS,15.75
0000084,BROCA ACO RAP. 4MM IRWIN  IW4,7897095000830,UN,IW4,DIVERSOS,7.00
0000845,BROCA ACO RAP. 3.5MM  9/64 IRWIN,7897095000083,UN,IW964,DIVERSOS,7.00
0000846,BROCA ACO RAP. 5.5MM  7/32 IRWIN,7897095000137,UN,005102,DIVERSOS,9.00
0000847,BROCA ACO RAP. 5.1MM  13/64 IRWIN,7897095000120,UN,,DIVERSOS,8.50
0000848,BROCA ACO RAP. 4.3MM  11/64 IRWIN,7897095000106,UN,,DIVERSOS,8.00
0000849,BROCA ACO RAP. 7.5MM  19/64 IRWIN  ,7897095000182,UN,,DIVERSOS,13.16
0000850,BROCA ACO RAP. 1.0MM IRWIN C10,7897095000465,UN,,DIVERSOS,8.70
0000851,BROCA ACO RAP. 1.5MM IRWIN,7897095000533,UN,005449,DIVERSOS,7.00
0000852,BROCA ACO RAP. 2MM IRWIN,7897095000595,UN,,DIVERSOS,6.50
0000853,BROCA ACO RAP. 6MM IRWIN,7897095001073,UN,,DIVERSOS,9.50
0000854,"BROCA ACO RAP. 6.5MM X 1/4"" IRWIN",7897095001134,UN,005459,DIVERSOS,12.50
0000855,BROCA VIDEA CONCRETO.070MM ,0000000000855,UN,,DIVERSOS,10.60
0000856,BROCA ACO RAP. 8MM IRWIN,7897095001301,UN,IW1282,DIVERSOS,15.00
0000857,BROCA ACO RAP. 9MM IRWIN,7897095001417,UN,,DIVERSOS,20.00
0000858,BROCA ACO RAP. 10MM IRWIN,7897095001523,UN,,DIVERSOS,28.50
0000859,BROCA ACO RAP. 11MM IRWIN,7897095001639,UN,005468,DIVERSOS,32.00
0000860,"BROCA ACO RAP. 1/2"" IRWIN",7897095000311,UN,IW1136,DIVERSOS,42.50
0000861,LUVA LR SOLD 20X20,17897801300749,SC,020193,DIVERSOS,2.00
24/10/2025 - 001,,,,,,
C.INTERNO,PRODUTO,C.BARRAS,UN,REFERENCIA,MARCA,PREÇO
0000862,"JOELHO LR AZUL 25 X 1/2"" FORTLEV",7898543591276,SC,020380,DIVERSOS,6.50
0000863,"FACAO P/ MATO 20"" CORNETA",7896673118158,UN,032517,DIVERSOS,71.00
0000864,FECHADURA EXT.BOLA FIXA OXID ,7893858350440,UN,054533,DIVERSOS,87.00
0000865,FECHADURA EXT.BOLA FIXA INOX ,7893858350457,UN,054534,DIVERSOS,75.00
0000866,BROCA VIDEA CONCR/PED.10MM IRWI.,7897095014189,UN,055067,DIVERSOS,17.50
0000867,FILTRO DE LINHA 6 TOM. BIVOLT ,7899278900333,UN,081498,DIVERSOS,26.50
0000868,CHAVE BOCA 06A17MM 6PCS ,7891638012748,JG,090033,DIVERSOS,37.50
0000869,REGISTRO ESFERA 20MM KRONA,7898234992092,UN,020403,DIVERSOS,8.00
0000871,BRITA MT,1000000871654,M,,DIVERSOS,190.00
0000872,CANTO DE FORRO,1000000872842,UN,161.0,DIVERSOS,4.50
0000873,MASSA CORRIDA POP MASSA 15KG,1000000873818,UN, ,DIVERSOS,16.02
0000874,TELHA TRANSPARENTE DUPLA ,7898951425125,UN, ,DIVERSOS,21.00
0000875,ESTRIVO 7X17 CX200,1000000875034,UN,,DIVERSOS,1.00
0000876,TABUA DE PINUS 28CM 3MT,1000000876413,UN,000410,DIVERSOS,48.00
0000879,DISCO DE FERRO WURTH,7891799497903,UN,,DIVERSOS,5.00
0000880,VERNIZ EUCATEX  COPAL INCOLOR ,1000000880922,UN, ,DIVERSOS,90.09
0000881,TUBO ELETRODUTO 20,1000000881271,UN,1100,DIVERSOS,10.00
0000882,"LUVA ELETRODUTO 20 1/2""",1000000882292,UN,1181,DIVERSOS,2.00
0000885,CONECTOR DE ANTENA,1000000885590,UN,PLUG,DIVERSOS,2.00
0000886,FIO DE ANTENA FOXLUX,1000000886764,UN,077932,DIVERSOS,1.50
0000887,ABRACADEIRA ROSCA SEM FIM 20,1000000887747,UN,5810,DIVERSOS,2.00
0000888,"BAINHA DE FACAO 20""",1000000888263,UN,,DIVERSOS,26.00
0000889,TUBO ELETRODUTO 25 3/4,0000000000889,UN,3545,DIVERSOS,14.00
0000890,"LUVA ELETRODUTO 25 3/4""",1000000890587,UN,647,DIVERSOS,2.00
0000892,CURVA ELETRODUTO 20 90,1000000892222,UN, ,DIVERSOS,2.50
0000893,CORRENTE,1000000893007,UN, ,DIVERSOS,39.00
0000894,CURVA DE ESGOTO CURTA DE 100,1000000894981,UN,023139,DIVERSOS,23.50
0000895,TE DE ESGOTO C/ REDUCAO 100X50,1000000895322,UN,0664,DIVERSOS,12.00
0000896,TOMADA SIMPLES PLUZIE IDEALE 10A,7898495988216,UN,3211,DIVERSOS,7.00
0000897,TOMADA TRIPLO PLUZIE 10A,7898501825436,UN,4201,DIVERSOS,12.50
0000898,ESPACADOR DE PISO 2MM GRAP,7898100070626,UN,,DIVERSOS,3.00
0000899,ESPACADOR DE PISO CORTAG 15MM,7897451465556,UN, ,DIVERSOS,3.00
0000900,TUBO DE DESCARGA,7897203400538,UN,2868,DIVERSOS,16.00
0000902,EMENDA MANGUEIRA/JARDIM 25,1000000902402,UN, ,DIVERSOS,3.00
0000903,EMENDA MANGUEIRA/JARDIM 20,1000000903997,UN,024021,DIVERSOS,2.00
24/10/2025 - 001,,,,,,
C.INTERNO,PRODUTO,C.BARRAS,UN,REFERENCIA,MARCA,PREÇO
0000905,MASSA CORRIDA ACRILICA LUCRILAR ,1100000906841,UN,,DIVERSOS,40.00
0000906,ROLDANA DE PORCELANA FOXLUX,7898586134027,UN,079042,DIVERSOS,8.00
0000907,COLHEDOR DE FRUTAS WORKER,7899009111670,UN,244694,DIVERSOS,18.02
0000908,TE SOLD FORTLEV 32,1000000908220,UN,31527,DIVERSOS,4.00
0000909,JOELHO LR SOLD FORTLEV  25 X 20 / ,1000000909609,UN, ,DIVERSOS,3.00
0000911,TANQUE MAXFORT 2000LT,1000000911428,UN, ,DIVERSOS,865.40
0000912,PERFIL H,1000000912357,UN,,DIVERSOS,51.00
0000914,CALHA DE 9 X 40CM,1000000914344,UN,,DIVERSOS,3.70
0000915,CALHA DE 12 X 40CM,1000000915631,UN,,DIVERSOS,4.70
0000919,PORTA KDK 90,1000000919073,UN, ,DIVERSOS,210.00
0000920,PORTA KDK 60,1000000920840,UN, ,DIVERSOS,130.00
0000922,PORTA ALMOFADA MISTA 70CM,1000000922189,UN, ,DIVERSOS,253.00
0000923,REGISTRO ESFERA 32MM,1000000923223,UN,,DIVERSOS,20.16
0000924,RESISTENCIA TOP JET TURBO ,7896451837356,UN,3055Q,DIVERSOS,46.00
0000925,RESISTENCIA MAXI DUCHA 220V ,7896451800480,UN,055B,DIVERSOS,26.00
0000927,"FERROLHO RED LEVE 4"" OURO PRETO",2917400000975,UN,0097,DIVERSOS,10.00
0000928,"FERROLHO RED LEVE 4"" FLO  OURO ",2917400001972,UN,0197,DIVERSOS,10.00
0000929,FERROLHO RED LEVE 25 FZ  OURO ,2917400000951,UN,0095,DIVERSOS,6.50
0000930,"DOBRADICA  FLO 35"" C/2 OURO ",2917400000302,UN,0030,DIVERSOS,8.60
0000931,RESISTENCIA LORENZETTI DUCHA 4T ,7896451845092,UN, ,DIVERSOS,38.00
0000932,REJUNTE BRANCO POP MASSA 1KG,1000000932812,UN, ,DIVERSOS,6.00
0000933,REJUNTE CINZA POP MASSA 1KG,1000000933307,UN, ,DIVERSOS,6.00
0000934,CURVA ELETRODUTO 3/4 U 180,1000000934977,UN, ,DIVERSOS,6.50
0000935,RESISTENCIA P/ DUCHA L 127V,7898018512119,UN, ,DIVERSOS,10.01
0000936,RESISTENCIA DUCHA L 220V,7898018512225,UN, ,DIVERSOS,10.01
0000937,ARMACAO SECUNDARIA BIT. 5/8,7898330671372,UN, ,DIVERSOS,9.01
0000938,"LUVA ELETRODUTO 32  1""",1000000938715,UN,,DIVERSOS,2.00
0000939,COPO DE RALO SIFONADO TIGRE,7897613329429,UN, ,DIVERSOS,1.40
0000940,IMPERMEABILIZANTE/ PAREDES ,7894174211156,UN, ,DIVERSOS,1.40
0000941,ADITIVO IMPERMEABILIZANTE SIKA ,7896785305064,UN, ,DIVERSOS,132.65
0000942,MARTELO TRAMONTINA 20,1000000942453,UN, ,DIVERSOS,22.96
0000943,INTERRUPTOR RADIAL 10A RADIAL,1000000943597,UN, ,DIVERSOS,1.40
0000944,TOMADA DUPLA PUZIE 10A,7898495988223,UN,121190,DIVERSOS,10.00
0000945,REPARO VEDANTE CROMADO  AGUIA ,7898380676686,UN, ,DIVERSOS,16.02
0000946,DUCHA HIGIENICA  1/4 VOLTA BUZIOS ,7898436367421,UN, ,DIVERSOS,44.80
24/10/2025 - 001,,,,,,
C.INTERNO,PRODUTO,C.BARRAS,UN,REFERENCIA,MARCA,PREÇO
0000947,ASSENTO INFANTIL DUDUBAY,1000000947366,UN, ,DIVERSOS,41.58
0000948,BROXA TIGRE GRANDE,7891395016140,UN,119902,DIVERSOS,5.60
0000949,RESISTENCIA MAXI TORNEIRA ,7896451800442,UN, ,DIVERSOS,20.02
0000950,REPARO CABECOTE MVS 70MM,7898357431485,UN,4926,DIVERSOS,26.00
0000951,COLHER DE PEDREIRO PACETTA 9,7897157700197,UN,2002,DIVERSOS,39.00
0000953,JOELHO DE ESGOTO 50 / 45,1000000953688,UN,023043,DIVERSOS,4.60
0000954,TE LR SOLD 25,1000000954135,UN,61740,DIVERSOS,4.50
0000955,TE LR SOLD 20,1000000955637,UN,1345,DIVERSOS,5.00
0000956,EXTENSAO PRISMATEC 3MT,1000000956504,UN,,DIVERSOS,16.00
0000957,"NIPEL ROSCAVEL 1""/ 32",1000000957631,UN,,DIVERSOS,4.00
0000958,INTERRUPTOR AVULSO ILUMI,7898542004081,UN, ,DIVERSOS,4.00
0000960,TOMADA SIMPLES ILUMI 10A,7898542003145,UN, ,DIVERSOS,8.50
0000961,TOMADA DUPLA ILUMI 10A,1000000961805,UN, ,DIVERSOS,10.01
0000962,INTERRUPTOR RADIAL DUAS TECLAS,7898195640810,UN, ,DIVERSOS,5.50
0000963,BOTA COURO IMBISEG S/BIQ. TAM 42,7899717102533,UN,,DIVERSOS,60.00
0000964,BOTA BORRACHA VULCABRAS PT TAM ,7890858268317,UN,,DIVERSOS,50.00
0000965,BOTA BORRACHA VULCABRAS PT TAM ,7890858268256,UN,,DIVERSOS,50.00
0000966,PADRAO COMPLETO NOVO,1000000966534,UN, ,DIVERSOS,270.00
0000967,CAIXA DE CORREIO PLAST. PRETA ,1000000967623,UN,,DIVERSOS,37.00
0000968,"PINCEL ROMA 1"" 254MM AT 301003",7891595003346,UN,301 003,DIVERSOS,4.00
0000969,PINCEL ATLAS 3/4 AT 319,7896380105311,UN, ,DIVERSOS,4.50
0000970,"PINCEL CONDOR 4"" AT 610",7891055161708,UN, ,DIVERSOS,10.50
0000971,PINCEL ATLAS 820/12 UND,1000000971439,UN, ,DIVERSOS,2.00
0000972,"PINCEL CONDOR 1/2"" 190MM",7891055169704,UN,,DIVERSOS,3.00
0000973,CABO DE CHUVEIRO LORENZETTI,7896451842152,UN,5719,DIVERSOS,27.00
0000974,TE DE ENERGIA RADIAL 3 ENTRADAS,7898195648373,UN,,DIVERSOS,7.00
0000975,REGISTRO ESFERA 40MM KRONA,1000000975499,UN,0543,DIVERSOS,20.00
0000976,FLANGE FORTLEV 50MM,7898543590521,UN,33810,DIVERSOS,17.00
0000977,TE EMENDA MANGUEIRA,1000000977141,UN, ,DIVERSOS,3.50
0000978,JOELHO DE ESGOTO KRONA 100 / 45,1000000978407,UN,023011,DIVERSOS,8.00
0000979,VERNIZ TINGIDOR IMBUIA 900ML ,7896587020097,CX,003415,DIVERSOS,40.00
0000980,PARAFUSO SEXTAVADO 5/16X 1    ,7892261000089,CX,004313,DIVERSOS,0.45
0000981,PARAFUSO SEXTAVADO 5/16X11/2  ,7892261000294,CX,004316,DIVERSOS,0.60
0000982,"PARAFUSO FRANCES ZIN. 5/16 X2 1/2"" ",7892261000560,UN,004405,DIVERSOS,1.90
0000983,PARAFUSO FRANCES ZIN5/16X31/2 ,7892261001253,%,004407,DIVERSOS,0.73
24/10/2025 - 001,,,,,,
C.INTERNO,PRODUTO,C.BARRAS,UN,REFERENCIA,MARCA,PREÇO
0000984,VERNIZ TINGIDOR MOGNO 900ML ,7896587020073,CX,920019704,DIVERSOS,40.00
0000985,LIXEIRA  120L PLAS.C/PED.CZ GUARA,7891988009993,UN,015669,DIVERSOS,52.66
0000986,FIO TORCIDO 2X1.0MM  MEGA  C100M,7899278985552,RL,017129,DIVERSOS,2.60
0000987,CADEIRA GAMER C/BRACO PT/AZ ,7898589671048,UN,049370,DIVERSOS,961.70
0000988,DOBRADI PORTEI.FERRAD.N1 ,17898089528016,CX,062003,DIVERSOS,18.77
0000989,PORCA 1/4 POLIDA,7892261000126,CX,004121,DIVERSOS,0.25
0000990,PARAFUSO SEXTAVADO 1/4 X11/2  ,7892261000409,CX,004302,DIVERSOS,0.40
0000991,ROLO LA P/ PINTAR CONDOR,7891055102008,UN,033186,DIVERSOS,21.01
0000992,GANCHO REDE CHUMB.C06PAR FCA,7898916470542,PT,064922,DIVERSOS,9.00
0000993,"PARAFUSO FRANCES 5/16X3"" CISER",7892261000843,,004406,DIVERSOS,2.00
0000994,REGISTRO ESPERA 50MM KRONA,1000000994438,UN,020108,DIVERSOS,25.00
0000995,PREGOS GERDAU 3/4X17=10X9 ,7899192206955,UN,10300,DIVERSOS,40.00
0000996,TUBO ELETRODUTO 32,1000000996029,UN,238,DIVERSOS,22.00
0000998,JANELA ALUMINIO 80X80,1000000998702,UN,,DIVERSOS,210.21
0000999,REDUCAO SOLD LONGA DE 25X20,1000000999839,UN,,DIVERSOS,2.00
0001000,LUVA LR FORTLEV AZUL 25X1/2,1000001000985,UN,10312513,DIVERSOS,7.00
0001001,LUVA LR SOLD FORTLEV 32,1000001001128,UN, ,DIVERSOS,4.50
0001002,JUNCAO DE ESGOTO 100,1000001002477,UN,1306,DIVERSOS,22.00
0001003,JUNCAO DE ESGOTO 75,1000001003672,UN, ,DIVERSOS,22.12
0001004,JUNCAO DE ESGOTO 50,17897801302453,UN,1304,DIVERSOS,10.00
0001005,JUNCAO DE ESGOTO 40,1000001005362,UN,1303,DIVERSOS,5.00
0001006,TORNEIRA ESPIGA TANQUE 10CM 1/2 ,0000000001006,UN,,DIVERSOS,6.00
0001007,BOIA CX.DAGUA  1/2 UNIV.GRAP,7898100079735,UN, ,DIVERSOS,10.00
0001008,ABRACADEIRA ROSCA SEM FIM 25,1000001008448,UN,5799,DIVERSOS,2.50
0001009,DESCARGA ALUMASA,7899085400002,UN,2000,DIVERSOS,41.00
0001010,CURVA SOLD 25/ 45,1000001010526,UN, ,DIVERSOS,1.19
0001011,RABICHO MANTAC 40CM,7899020590041,UN, ,DIVERSOS,6.00
0001012,PA DE LIXO,1000001012278,UN, ,DIVERSOS,12.00
0001013,JUNCAO TRIPLO 100,1000001013244,UN, ,DIVERSOS,30.03
0001014,TORNEIRA DE JARDIM PRETA,7897801319188,UN,047751,DIVERSOS,5.00
0001016,TAMPA CEGA RADIAL,1000001016870,UN, ,DIVERSOS,3.50
0001017,REPARO CABECOTE P/ VOLANTE ICO ,7899848800759,UN, ,DIVERSOS,13.01
0001018,REPARO GCM METAIS,7898606839857,UN, ,DIVERSOS,16.02
0001019,"ADAPTADOR LR SOLD 25X3/4""",1000001019543,UN,020114,DIVERSOS,2.00
0001020,AGUARRAS 450ML SOLUT,7908147605160,UN,9696,DIVERSOS,12.00
24/10/2025 - 001,,,,,,
C.INTERNO,PRODUTO,C.BARRAS,UN,REFERENCIA,MARCA,PREÇO
0001021,TORNEIRA CONJ MAQ 1/2  TORNEIRA ,7898059544322,UN,007151,DIVERSOS,23.50
0001022,CHUVEIRO VICAP C/ REGISTRO 30CM,789848664152,UN,,DIVERSOS,12.00
0001023,BOIA AMANCO BRANCA,1000001023830,UN, ,DIVERSOS,9.01
0001024,BUCHA PARA GESSO WURTH / IV N10,1000001024882,UN,0903251102,DIVERSOS,0.75
0001025,ASSENTO ALUMASA,1000001025605,UN, ,DIVERSOS,21.48
0001026,CANTONEIRA 25CM,7898956620181,UN,064962,DIVERSOS,7.00
0001028,REGISTRO DE GAVETA 3/4 DELTA,7899075130377,UN,026238,DIVERSOS,51.04
0001029,TE LR SOLD 25X3/4 AZUL,1000001029580,UN,,DIVERSOS,8.00
0001030,"JOELHO LR AZUL 20 X 1/2"" FORTLEV",1000001030821,UN,020157,DIVERSOS,6.50
0001031,LUVA LR FORTLEV AZUL 20X1/2,1000001031507,UN,,DIVERSOS,6.00
0001032,TINTA SPRAY WURTH BRANCO 250G,4058794224160,UN, ,DIVERSOS,22.00
0001033,PLUGUE COM ROSCA 1/2,7897801301473,UN,6560,DIVERSOS,1.00
0001034,PLUGUE COM ROSCA 3/4,0000000001034,UN,,DIVERSOS,1.00
0001035,NIPEL ROSCAVEL 1/2 / 20,1000001035475,UN,,DIVERSOS,1.00
0001036,TORNEIRA DE FILTRO BRANCA,1000001036823,UN,,DIVERSOS,9.00
0001037,PECA MISTA 3MT 11X5,1000001037042,UN,,DIVERSOS,77.00
0001038,PECA MISTA 3.5MT 11X5,1000001038018,UN,,DIVERSOS,96.00
0001039,PECA MISTA 4MT 11X5,1000001039121,UN,,DIVERSOS,110.00
0001040,FITA ISOLANTE 18MMX5MM WURTH,4056807703930,UN,0985180501,DIVERSOS,4.00
0001041,MANGUEIRA INCOLOR 50M / DURIN,1000001041049,UN, ,DIVERSOS,2.50
0001042,PARAFUSOS DE VASO SANITARIO PAR,7898708571143,PAR, ,DIVERSOS,7.00
0001043,ABRACADEIRA ROSCA SEM FIM 32,1000001043807,UN, ,DIVERSOS,3.00
0001044,ARRUELA 1/2 INCA,7893537000284,UN,,DIVERSOS,0.40
0001045,ARUELA ZAMAC 3/4,7893537000291,UN, ,DIVERSOS,1.40
0001046,"BUCHA CONDUITE INCA 3/4""",7893537000024,UN,,DIVERSOS,1.50
0001048,DESCARGA GRANPLAST,7898945769174,UN,871411,DIVERSOS,38.00
0001049,DIVISOR DE ANTENA,7898566200278,UN,35592,DIVERSOS,5.00
0001050,SOVENTE THINNER 1LT,1000001050164,UN, ,DIVERSOS,12.01
0001051,PARAFUSO UND,1000001051109,UN, ,DIVERSOS,1.00
0001052,ADAPTADOR DE MICROONDAS,1000001052175,UN,,DIVERSOS,5.03
0001053,DOBRADICA 15 ZINCADA POLIPAX,83021000000000,UN, ,DIVERSOS,4.00
0001054,PORTA CADEADO ACO ZINCADO 2.1/2,1000001054629,UN, ,DIVERSOS,4.00
0001055,APLICADOR MANUAL ECONOMIC,7891799420277,UN,2634,DIVERSOS,24.00
0001056,SERRA STARRETT GREY-FLEX CANO,7891265400154,UN,GF1218,DIVERSOS,5.00
0001057,BROCA CHATA P/ MADEIRA V-MAX ,4056807411910,UN, ,DIVERSOS,10.01
24/10/2025 - 001,,,,,,
C.INTERNO,PRODUTO,C.BARRAS,UN,REFERENCIA,MARCA,PREÇO
0001058,BROCA 3 PONTAS P/ MADEIRA 7MM,4056807411668,UN, ,DIVERSOS,12.00
0001059,BROCA 3 PONTAS P/ MADEIRA 8MM,4056807411699,UN, ,DIVERSOS,14.00
0001060,BROCA 3 PONTAS P/ MADEIRA 9MM,4056807411729,UN, ,DIVERSOS,16.00
0001061,BROCA 3 PONTAS P/ MADEIRA 10MM,4056807411750,UN, ,DIVERSOS,20.00
0001062,BROCA 3 PONTAS P/ MADEIRA 6MM,4056807411637,UN, ,DIVERSOS,10.00
0001063,CHAVE DE VIRAR FERRO S. ROMAO ,7898089528675,UN,40142,DIVERSOS,36.00
0001064,CHAVE DE VIRAR FERRO S. ROMAOP ,7898089528613,UN,40141,DIVERSOS,40.00
0001065,ROLDANA PARA POCO 12CM,7898901274575,UN,40293,DIVERSOS,45.00
0001066,VEDACIT VEDACIT 1L  UND,0000000001066,UN,60171,DIVERSOS,9.77
0001067,ROMA ESCOVA ACO 4FIL PLASTICO 30 ,0000000001067,UN,61210,DIVERSOS,7.90
0001068,CAIXA PLAST VIATEK P/01 DISJUNTOR,7898951425095,UN, ,DIVERSOS,7.00
0001069,SPOT LUMISPOT BRANCO,0000000001069,UN,1104,DIVERSOS,12.00
0000000,ENGATE DE MANGUEIRA,0000000000000,UN,,DIVERSOS,5.00
0001072,BUCHA 10,1000001072142,UN,62998,DIVERSOS,0.40
0001073,BUCHA 12,1000001073941,UN, ,DIVERSOS,0.50
0001075,BUCHA 7,1000001075778,UN, ,DIVERSOS,0.20
0001077,BUCHA 5,1000001077307,UN, ,DIVERSOS,0.15
0001078,DISJUNTOR DE 40 SCHNEIDER,3606480581434,UN, ,DIVERSOS,13.00
0001079,TRENA SQ 75MT,7899441503293,UN, ,DIVERSOS,28.00
0001080,ESTRIVO 7X22 CX200,1000001080123,UN,,DIVERSOS,1.00
0001081,CARRO MAO 3.25 PRETO MASTER,7898113088168,UN,286061,DIVERSOS,150.00
